IO Bank,Pin Number,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Trace Delay (ps),Avg Trace Delay (mm),Avg Trace Delay (mils)
35,H17,IO_0_35,49.819,50.32,50.0695,7.703,303.2677165
35,F16,IO_L1P_T0_AD0P_35,54.373,54.92,54.6465,8.407153846,330.9903089
35,E16,IO_L1N_T0_AD0N_35,34.619,34.967,34.793,5.352769231,210.7389461
35,D16,IO_L2P_T0_AD8P_35,43.745,44.185,43.965,6.763846154,266.2931557
35,D17,IO_L2N_T0_AD8N_35,32.968,33.299,33.1335,5.097461538,200.6874621
35,G17,IO_L6P_T0_35,48.737,49.227,48.982,7.535692308,296.6807995
35,F17,IO_L6N_T0_VREF_35,38.752,39.141,38.9465,5.991769231,235.8964264
35,C15,IO_L7P_T1_AD2P_35,73.081,73.815,73.448,11.29969231,444.8697759
35,B15,IO_L7N_T1_AD2N_35,76.8,77.572,77.186,11.87476923,467.5105996
35,B16,IO_L8P_T1_AD10P_35,77.42,78.198,77.809,11.97061538,471.2840703
35,B17,IO_L8N_T1_AD10N_35,78.762,79.554,79.158,12.17815385,479.4548758
35,C17,IO_L11P_T1_SRCC_35,77.366,78.144,77.755,11.96230769,470.9569958
35,C18,IO_L11N_T1_SRCC_35,71.354,72.071,71.7125,11.03269231,434.3579649
35,D18,IO_L12P_T1_MRCC_35,105.563,106.623,106.093,16.322,642.5984252
35,C19,IO_L12N_T1_MRCC_35,100.751,101.763,101.257,15.578,613.3070866
35,A21,IO_L15P_T2_DQS_AD12P_35,89.059,89.954,89.5065,13.77023077,542.1350697
35,A22,IO_L15N_T2_DQS_AD12N_35,91.105,92.021,91.563,14.08661538,554.5911569
35,B21,IO_L18P_T2_AD13P_35,98.581,99.572,99.0765,15.24253846,600.0999394
35,B22,IO_L18N_T2_AD13N_35,93.955,94.9,94.4275,14.52730769,571.9412477
35,H19,IO_L19P_T3_35,29.592,29.889,29.7405,4.575461538,180.136281
35,H20,IO_L19N_T3_VREF_35,42.631,43.059,42.845,6.591538462,259.5093882
35,F21,IO_L23P_T3_35,99.301,100.299,99.8,15.35384615,604.482132
35,F22,IO_L23N_T3_35,82.07,82.895,82.4825,12.68961538,499.5911569
35,H22,IO_L24P_T3_AD15P_35,51.574,52.092,51.833,7.974307692,313.9491217
35,G22,IO_L24N_T3_AD15N_35,64.863,65.515,65.189,10.02907692,394.8455482
35,H18,IO_25_35,44.988,45.44,45.214,6.956,273.8582677
35,A20,VCCO_35,,,,,
35,C16,VCCO_35,,,,,
35,D19,VCCO_35,,,,,
35,E22,VCCO_35,,,,,
35,F15,VCCO_35,,,,,
35,G18,VCCO_35,,,,,
35,H21,VCCO_35,,,,,
500,B3,VCCO_MIO0_500,,,,,
500,C6,VCCO_MIO0_500,,,,,
501,F8,PS_MIO_VREF_501,18.084,18.265,18.1745,2.796076923,110.0817686
501,A10,VCCO_MIO1_501,,,,,
501,B13,VCCO_MIO1_501,,,,,
501,D9,VCCO_MIO1_501,,,,,
501,E12,VCCO_MIO1_501,,,,,
502,E2,VCCO_DDR_502,,,,,
502,F5,VCCO_DDR_502,,,,,
502,H1,VCCO_DDR_502,,,,,
502,J4,VCCO_DDR_502,,,,,
502,K7,VCCO_DDR_502,,,,,
502,M3,VCCO_DDR_502,,,,,
502,N6,VCCO_DDR_502,,,,,
502,R2,VCCO_DDR_502,,,,,
502,V1,VCCO_DDR_502,,,,,
502,H7,PS_DDR_VREF0_502,33.218,33.551,33.3845,5.136076923,202.2077529
502,P7,PS_DDR_VREF1_502,47.49,47.967,47.7285,7.342846154,289.0884313
,G10,RSVDGND,75.6,76.36,75.98,11.68923077,460.2059358
,T10,RSVDVCC3,70.466,71.174,70.82,10.89538462,428.9521502
,T8,RSVDVCC2,103.161,104.197,103.679,15.95061538,627.9769836
,T7,RSVDVCC1,71.232,71.948,71.59,11.01384615,433.6159903
,A5,GND,,,,,
,A15,GND,,,,,
,AA5,GND,,,,,
,AA15,GND,,,,,
,AB8,GND,,,,,
,AB18,GND,,,,,
,B8,GND,,,,,
,B18,GND,,,,,
,C1,GND,,,,,
,C11,GND,,,,,
,C21,GND,,,,,
,D4,GND,,,,,
,D14,GND,,,,,
,E7,GND,,,,,
,E17,GND,,,,,
,F10,GND,,,,,
,F20,GND,,,,,
,G3,GND,,,,,
,H6,GND,,,,,
,H8,GND,,,,,
,H12,GND,,,,,
,H14,GND,,,,,
,H16,GND,,,,,
,J9,GND,,,,,
,J11,GND,,,,,
,J13,GND,,,,,
,J19,GND,,,,,
,K2,GND,,,,,
,K8,GND,,,,,
,K10,GND,,,,,
,K14,GND,,,,,
,K22,GND,,,,,
,L5,GND,,,,,
,L9,GND,,,,,
,L13,GND,,,,,
,L15,GND,,,,,
,M8,GND,,,,,
,M10,GND,,,,,
,M14,GND,,,,,
,M18,GND,,,,,
,N1,GND,,,,,
,N9,GND,,,,,
,N13,GND,,,,,
,N21,GND,,,,,
,P4,GND,,,,,
,P8,GND,,,,,
,P10,GND,,,,,
,P12,GND,,,,,
,P14,GND,,,,,
,R9,GND,,,,,
,R11,GND,,,,,
,R13,GND,,,,,
,R17,GND,,,,,
,T20,GND,,,,,
,U3,GND,,,,,
,U13,GND,,,,,
,V6,GND,,,,,
,V16,GND,,,,,
,W9,GND,,,,,
,W19,GND,,,,,
,Y2,GND,,,,,
,Y12,GND,,,,,
,Y22,GND,,,,,
,J12,VCCINT,,,,,
,J14,VCCINT,,,,,
,K13,VCCINT,,,,,
,L14,VCCINT,,,,,
,M13,VCCINT,,,,,
,N14,VCCINT,,,,,
,P13,VCCINT,,,,,
,R14,VCCINT,,,,,
,L10,VCCAUX,,,,,
,N10,VCCAUX,,,,,
,P11,VCCAUX,,,,,
,R10,VCCAUX,,,,,
,H11,VCCBRAM,,,,,
,J10,VCCBRAM,,,,,
,H10,VCCPLL,38.249,38.633,38.441,5.914,232.8346457
,K9,VCCPAUX,,,,,
,M9,VCCPAUX,,,,,
,P9,VCCPAUX,,,,,
,T9,VCCPAUX,,,,,
,G8,VCCPINT,,,,,
,H9,VCCPINT,,,,,
,J8,VCCPINT,,,,,
,L8,VCCPINT,,,,,
,N8,VCCPINT,,,,,
,R8,VCCPINT,,,,,
